Date,Open,High,Low,Close,Volume
29-Apr-10,266.42,267.98,263.07,265.73,-
28-Apr-10,265.78,267.15,260.25,264.33,-
27-Apr-10,264.21,268.90,263.35,264.26,-
26-Apr-10,272.21,272.22,264.34,265.55,-
23-Apr-10,273.35,274.39,270.86,272.22,-
22-Apr-10,275.72,275.97,271.40,273.26,-
21-Apr-10,277.95,279.84,275.80,276.87,-
20-Apr-10,276.81,279.55,275.25,277.24,-
19-Apr-10,274.10,276.72,272.23,274.77,-
16-Apr-10,281.22,284.12,274.54,274.80,-
15-Apr-10,295.79,298.62,293.85,297.35,-
14-Apr-10,294.73,295.87,291.71,294.21,-
13-Apr-10,285.98,294.15,285.28,293.09,-
12-Apr-10,283.39,286.71,282.83,286.08,-
9-Apr-10,283.72,284.10,281.72,282.83,-
8-Apr-10,281.38,284.64,279.74,283.46,-
7-Apr-10,283.37,284.09,280.65,281.49,-
6-Apr-10,284.45,285.16,282.42,283.83,-
5-Apr-10,285.16,287.15,284.22,285.22,-
31-Mar-10,282.24,284.59,281.12,283.28,-
30-Mar-10,281.13,283.53,279.86,283.07,-
29-Mar-10,281.22,282.08,280.00,280.94,-
26-Mar-10,282.35,283.41,279.73,281.06,-
25-Mar-10,279.23,285.71,279.05,281.16,-
24-Mar-10,272.48,279.64,269.58,278.39,-
23-Mar-10,278.24,278.88,270.73,274.23,-
22-Mar-10,277.78,283.14,276.86,278.47,-
19-Mar-10,282.83,283.72,278.36,279.72,-
18-Mar-10,282.08,283.94,281.20,282.92,-
17-Mar-10,283.87,285.44,281.84,282.50,-
16-Mar-10,280.63,283.93,280.10,282.32,-
15-Mar-10,283.06,284.44,277.72,281.31,-
12-Mar-10,293.78,293.84,289.29,289.48,-
11-Mar-10,286.84,292.81,286.81,290.28,-
10-Mar-10,281.60,288.96,280.82,287.94,-
9-Mar-10,279.65,282.05,277.97,279.81,-
8-Mar-10,282.11,282.31,280.22,280.96,-
5-Mar-10,280.39,283.55,279.67,281.82,-
4-Mar-10,272.98,277.79,272.83,277.02,-
3-Mar-10,270.91,273.79,269.36,272.39,-
2-Mar-10,267.47,272.56,267.24,270.26,-
1-Mar-10,264.34,266.38,263.61,266.08,-
26-Feb-10,263.45,265.61,261.48,263.14,-
25-Feb-10,263.30,263.98,259.74,262.95,-
24-Feb-10,266.93,268.95,264.99,265.47,-
23-Feb-10,271.23,271.54,265.88,267.27,-
22-Feb-10,273.40,273.48,270.23,271.13,-
19-Feb-10,270.23,271.74,269.58,270.11,-
18-Feb-10,268.50,272.23,267.80,271.34,-
17-Feb-10,270.73,271.43,268.54,268.83,-
16-Feb-10,268.30,271.79,266.88,270.38,-
12-Feb-10,266.22,268.31,264.98,266.29,-
11-Feb-10,265.86,269.97,264.49,267.93,-
10-Feb-10,266.77,268.63,263.58,266.96,-
9-Feb-10,269.50,270.49,267.27,267.95,-
8-Feb-10,265.98,270.73,265.50,266.47,-
5-Feb-10,263.94,266.48,260.97,265.38,-
4-Feb-10,268.23,268.73,262.52,263.13,-
3-Feb-10,264.07,270.78,263.85,270.14,-
2-Feb-10,267.21,267.21,263.54,265.29,-
1-Feb-10,267.03,267.64,264.88,266.24,-
29-Jan-10,268.98,270.22,262.54,264.71,-
28-Jan-10,271.97,273.23,265.03,266.88,-
27-Jan-10,270.36,273.55,267.39,270.78,-
26-Jan-10,268.72,274.53,267.88,270.94,-
25-Jan-10,273.02,274.66,267.49,269.73,-
22-Jan-10,281.97,285.01,267.16,274.73,-
21-Jan-10,291.43,293.12,285.84,291.20,-
