"","Date","Close","Volume","Symbol","Topic1","Topic2","Topic3"
"255","6/4/2009","21.83"," 42332565","MSFT","Search","Bing","Patents"
"256","6/5/2009","22.14"," 59585285","MSFT","Search","Bing","Patents"
"257","6/8/2009","22.05"," 49008050","MSFT","Search","Bing","Patents"
"258","6/9/2009","22.08"," 50887629","MSFT","Google","Yahoo","Search"
"259","6/10/2009","22.55"," 61297117","MSFT","Google","Yahoo","Search"
"260","6/11/2009","22.83"," 65128974","MSFT","Google","Yahoo","Search"
"261","6/12/2009","23.33"," 50963461","MSFT","Google","Yahoo","Search"
"262","6/15/2009","23.42"," 69089588","MSFT","Google","Yahoo","Search"
"263","6/16/2009","23.45","105295558","MSFT","Google","Yahoo","Search"
"264","6/17/2009","23.68"," 86483075","MSFT","Google","Yahoo","Search"
"265","6/18/2009","23.5"," 58852177","MSFT","Google","Yahoo","Search"
"266","6/19/2009","24.07","115458922","MSFT","Google","Yahoo","Search"
"267","6/22/2009","23.28"," 71296464","MSFT","Google","Yahoo","Search"
"268","6/23/2009","23.34"," 56753482","MSFT","Google","Yahoo","Search"
"269","6/24/2009","23.47"," 54287632","MSFT","Google","Yahoo","Search"
"270","6/25/2009","23.79"," 57727830","MSFT","Google","Yahoo","Search"
"271","6/26/2009","23.35"," 65126363","MSFT","Google","Yahoo","Search"
"272","6/29/2009","23.86"," 62864396","MSFT","Google","Yahoo","Search"
"273","6/30/2009","23.77"," 66452303","MSFT","Google","Yahoo","Search"
"274","7/1/2009","24.04"," 54915127","MSFT","Google","Yahoo","Search"
"275","7/2/2009","23.37"," 65427699","MSFT","Google","Yahoo","Search"
"276","7/6/2009","23.2"," 49207638","MSFT","Google","Yahoo","Search"
"277","7/7/2009","22.53"," 52842412","MSFT","Google","Yahoo","Search"
"278","7/8/2009","22.56"," 73023306","MSFT","Google","Yahoo","Search"
"279","7/9/2009","22.44"," 46981174","MSFT","Google","Yahoo","Search"
"280","7/10/2009","22.39"," 43238698","MSFT","Google","Yahoo","Search"
"281","7/13/2009","23.23"," 67585958","MSFT","Google","Yahoo","Search"
"282","7/14/2009","23.11"," 45448634","MSFT","Google","Yahoo","Search"
"283","7/15/2009","24.12"," 67241887","MSFT","Google","Yahoo","Search"
"284","7/16/2009","24.44"," 64560963","MSFT","Google","Yahoo","Search"
"285","7/17/2009","24.29"," 52860096","MSFT","Google","Yahoo","Search"
"286","7/20/2009","24.53"," 47797971","MSFT","Google","Yahoo","Search"
"287","7/21/2009","24.83"," 52028399","MSFT","Google","Yahoo","Search"
"288","7/22/2009","24.8"," 66192409","MSFT","Google","Yahoo","Search"
"289","7/23/2009","25.56","106060477","MSFT","Google","Yahoo","Search"
"290","7/24/2009","23.45","215135609","MSFT","Google","Yahoo","Search"
"291","7/27/2009","23.11"," 80949924","MSFT","Google","Yahoo","Search"
"292","7/28/2009","23.47"," 70288380","MSFT","Google","Yahoo","Search"
"293","7/29/2009","23.8"," 73626862","MSFT","Google","Yahoo","Search"
"294","7/30/2009","23.81"," 67819964","MSFT","Google","Yahoo","Search"
"295","7/31/2009","23.52"," 54265278","MSFT","Google","Yahoo","Search"
"296","8/3/2009","23.83"," 46902837","MSFT","Google","Yahoo","Search"
"297","8/4/2009","23.77"," 49218228","MSFT","Google","Yahoo","Search"
"298","8/5/2009","23.81"," 53310241","MSFT","Google","Yahoo","Search"
"299","8/6/2009","23.46"," 59694624","MSFT","Google","Yahoo","Search"
"300","8/7/2009","23.56"," 46174325","MSFT","Google","Yahoo","Search"
"301","8/10/2009","23.42"," 35268300","MSFT","Google","Yahoo","Search"
"302","8/11/2009","23.13"," 33620089","MSFT","Google","Yahoo","Search"
"303","8/12/2009","23.53"," 61972277","MSFT","Google","Yahoo","Search"
"304","8/13/2009","23.62"," 38955807","MSFT","Google","Yahoo","Search"
"305","8/14/2009","23.69"," 46331960","MSFT","Google","Yahoo","Search"
"306","8/17/2009","23.25"," 42482887","MSFT","Google","Yahoo","Search"
"307","8/18/2009","23.58"," 38878900","MSFT","Google","Yahoo","Search"
"308","8/19/2009","23.65"," 41827419","MSFT","Google","Yahoo","Search"
"309","8/20/2009","23.67"," 39508124","MSFT","Google","Yahoo","Search"
"310","8/21/2009","24.41"," 69018918","MSFT","Google","Yahoo","Search"
"311","8/24/2009","24.64"," 54180889","MSFT","Google","Yahoo","Search"
"312","8/25/2009","24.64"," 43980206","MSFT","Google","Yahoo","Search"
"313","8/26/2009","24.55"," 41079001","MSFT","Google","Yahoo","Search"
"314","8/27/2009","24.69"," 45495600","MSFT","Google","Yahoo","Search"
"315","8/28/2009","24.68"," 55807969","MSFT","Google","Yahoo","Search"
"316","8/31/2009","24.65"," 49597146","MSFT","Google","Yahoo","Search"
"317","9/1/2009","24"," 62608465","MSFT","Google","Yahoo","Search"
"318","9/2/2009","23.86"," 40771253","MSFT","Google","Yahoo","Search"
"319","9/3/2009","24.11"," 34120376","MSFT","Google","Yahoo","Search"
"320","9/4/2009","24.62"," 44999631","MSFT","Google","Yahoo","Search"
"321","9/8/2009","24.82"," 53738665","MSFT","Google","Yahoo","Search"
"322","9/9/2009","24.78"," 49900235","MSFT","Google","Yahoo","Search"
"323","9/10/2009","25"," 46258757","MSFT","Google","Yahoo","Search"
"324","9/11/2009","24.86"," 54304284","MSFT","Google","Yahoo","Search"
"325","9/14/2009","25"," 42810156","MSFT","Google","Yahoo","Search"
"326","9/15/2009","25.2"," 44718408","MSFT","Google","Yahoo","Search"
"327","9/16/2009","25.2"," 50055778","MSFT","Google","Yahoo","Search"
"328","9/17/2009","25.3"," 42431643","MSFT","Google","Yahoo","Search"
"329","9/18/2009","25.26"," 68016403","MSFT","Google","Yahoo","Search"
"330","9/21/2009","25.3"," 28878663","MSFT","death worker","tablet","appstore"
"331","9/22/2009","25.77"," 61378342","MSFT","death worker","tablet","appstore"
"332","9/23/2009","25.71"," 60603558","MSFT","death worker","tablet","appstore"
"333","9/24/2009","25.94"," 56310695","MSFT","death worker","tablet","appstore"
"334","9/25/2009","25.55"," 50161051","MSFT","death worker","tablet","appstore"
"335","9/28/2009","25.83"," 44363585","MSFT","death worker","tablet","appstore"
"336","9/29/2009","25.75"," 39050278","MSFT","death worker","tablet","appstore"
"337","9/30/2009","25.72"," 63537684","MSFT","death worker","tablet","appstore"
"338","10/1/2009","24.88"," 75958097","MSFT","death worker","tablet","appstore"
"339","10/2/2009","24.96"," 51226259","MSFT","death worker","tablet","appstore"
"340","10/5/2009","24.64"," 60809818","MSFT","death worker","tablet","appstore"
"341","10/6/2009","25.11"," 48795241","MSFT","death worker","tablet","appstore"
"342","10/7/2009","25.1"," 38473856","MSFT","death worker","tablet","appstore"
"343","10/8/2009","25.67"," 60521239","MSFT","death worker","tablet","appstore"
"344","10/9/2009","25.55"," 39522259","MSFT","death worker","tablet","appstore"
"345","10/12/2009","25.72"," 29153569","MSFT","death worker","tablet","appstore"
"346","10/13/2009","25.81"," 37748964","MSFT","death worker","tablet","appstore"
"347","10/14/2009","25.96"," 45365489","MSFT","death worker","tablet","appstore"
"348","10/15/2009","26.71"," 65620101","MSFT","death worker","tablet","appstore"
"349","10/16/2009","26.5"," 56500866","MSFT","death worker","tablet","appstore"
